minecraft:acacia_button                           | [block] "Acacia Button"
minecraft:lapis_ore                               | [block] "Lapis Lazuli Ore"
minecraft:large_amethyst_bud                      | [block] "Large Amethyst Bud"
minecraft:large_fern                              | [block] "Large Fern"
minecraft:lava                                    | [block] "Lava"
minecraft:lava_cauldron                           | [block] "Lava Cauldron"
minecraft:leaf_litter                             | [block] "Leaf Litter"
minecraft:lectern                                 | [block] "Lectern"
minecraft:lever                                   | [block] "Lever"
minecraft:light                                   | [block] "Light"
minecraft:light_blue_banner                       | [block] "Light Blue Banner"
minecraft:light_blue_bed                          | [block] "Light Blue Bed"
minecraft:light_blue_candle                       | [block] "Light Blue Candle"
minecraft:light_blue_candle_cake                  | [block] "Cake with Light Blue Candle"
minecraft:light_blue_carpet                       | [block] "Light Blue Carpet"
minecraft:light_blue_concrete                     | [block] "Light Blue Concrete"
minecraft:light_blue_concrete_powder              | [block] "Light Blue Concrete Powder"
minecraft:light_blue_glazed_terracotta            | [block] "Light Blue Glazed Terracotta"
minecraft:light_blue_shulker_box                  | [block] "Light Blue Shulker Box"
minecraft:light_blue_stained_glass                | [block] "Light Blue Stained Glass"
minecraft:light_blue_stained_glass_pane           | [block] "Light Blue Stained Glass Pane"
minecraft:light_blue_terracotta                   | [block] "Light Blue Terracotta"
minecraft:light_blue_wool                         | [block] "Light Blue Wool"
minecraft:light_gray_banner                       | [block] "Light Gray Banner"
minecraft:light_gray_bed                          | [block] "Light Gray Bed"
minecraft:light_gray_candle                       | [block] "Light Gray Candle"
minecraft:light_gray_candle_cake                  | [block] "Cake with Light Gray Candle"
minecraft:light_gray_carpet                       | [block] "Light Gray Carpet"
minecraft:light_gray_concrete                     | [block] "Light Gray Concrete"
minecraft:light_gray_concrete_powder              | [block] "Light Gray Concrete Powder"
minecraft:light_gray_glazed_terracotta            | [block] "Light Gray Glazed Terracotta"
minecraft:light_gray_shulker_box                  | [block] "Light Gray Shulker Box"
minecraft:light_gray_stained_glass                | [block] "Light Gray Stained Glass"
minecraft:light_gray_stained_glass_pane           | [block] "Light Gray Stained Glass Pane"
minecraft:light_gray_terracotta                   | [block] "Light Gray Terracotta"
minecraft:light_gray_wool                         | [block] "Light Gray Wool"
minecraft:light_weighted_pressure_plate           | [block] "Light Weighted Pressure Plate"
minecraft:lightning_rod                           | [block] "Lightning Rod"
minecraft:lilac                                   | [block] "Lilac"
minecraft:lily_of_the_valley                      | [block] "Lily of the Valley"
minecraft:lily_pad                                | [block] "Lily Pad"
minecraft:lime_banner                             | [block] "Lime Banner"
minecraft:lime_bed                                | [block] "Lime Bed"
minecraft:lime_candle                             | [block] "Lime Candle"
minecraft:lime_candle_cake                        | [block] "Cake with Lime Candle"
minecraft:lime_carpet                             | [block] "Lime Carpet"
minecraft:lime_concrete                           | [block] "Lime Concrete"
minecraft:lime_concrete_powder                    | [block] "Lime Concrete Powder"
minecraft:lime_glazed_terracotta                  | [block] "Lime Glazed Terracotta"
minecraft:lime_shulker_box                        | [block] "Lime Shulker Box"
minecraft:lime_stained_glass                      | [block] "Lime Stained Glass"
minecraft:lime_stained_glass_pane                 | [block] "Lime Stained Glass Pane"
minecraft:lime_terracotta                         | [block] "Lime Terracotta"
minecraft:lime_wool                               | [block] "Lime Wool"
minecraft:lodestone                               | [block] "Lodestone"
minecraft:loom                                    | [block] "Loom"
minecraft:magenta_banner                          | [block] "Magenta Banner"
minecraft:magenta_bed                             | [block] "Magenta Bed"
minecraft:magenta_candle                          | [block] "Magenta Candle"
minecraft:magenta_candle_cake                     | [block] "Cake with Magenta Candle"
minecraft:magenta_carpet                          | [block] "Magenta Carpet"
minecraft:magenta_concrete                        | [block] "Magenta Concrete"
minecraft:magenta_concrete_powder                 | [block] "Magenta Concrete Powder"
minecraft:magenta_glazed_terracotta               | [block] "Magenta Glazed Terracotta"
minecraft:magenta_shulker_box                     | [block] "Magenta Shulker Box"
minecraft:magenta_stained_glass                   | [block] "Magenta Stained Glass"
minecraft:magenta_stained_glass_pane              | [block] "Magenta Stained Glass Pane"
minecraft:magenta_terracotta                      | [block] "Magenta Terracotta"
minecraft:magenta_wool                            | [block] "Magenta Wool"
minecraft:magma_block                             | [block] "Magma Block"
minecraft:mangrove_button                         | [block] "Mangrove Button"
minecraft:mangrove_door                           | [block] "Mangrove Door"
minecraft:mangrove_fence                          | [block] "Mangrove Fence"
minecraft:mangrove_fence_gate                     | [block] "Mangrove Fence Gate"
minecraft:mangrove_hanging_sign                   | [block] "Mangrove Hanging Sign"
minecraft:mangrove_leaves                         | [block] "Mangrove Leaves"
minecraft:mangrove_log                            | [block] "Mangrove Log"
minecraft:mangrove_planks                         | [block] "Mangrove Planks"
minecraft:mangrove_pressure_plate                 | [block] "Mangrove Pressure Plate"
minecraft:mangrove_propagule                      | [block] "Mangrove Propagule"
minecraft:mangrove_roots                          | [block] "Mangrove Roots"
minecraft:mangrove_sign                           | [block] "Mangrove Sign"
minecraft:mangrove_slab                           | [block] "Mangrove Slab"
minecraft:mangrove_stairs                         | [block] "Mangrove Stairs"
minecraft:mangrove_trapdoor                       | [block] "Mangrove Trapdoor"
minecraft:mangrove_wall_hanging_sign              | [block] "Mangrove Wall Hanging Sign"
minecraft:mangrove_wall_sign                      | [block] "Mangrove Wall Sign"
minecraft:mangrove_wood                           | [block] "Mangrove Wood"
minecraft:medium_amethyst_bud                     | [block] "Medium Amethyst Bud"
minecraft:melon                                   | [block] "Melon"
minecraft:melon_stem                              | [block] "Melon Stem"
minecraft:moss_block                              | [block] "Moss Block"
minecraft:moss_carpet                             | [block] "Moss Carpet"
minecraft:mossy_cobblestone                       | [block] "Mossy Cobblestone"
minecraft:mossy_cobblestone_slab                  | [block] "Mossy Cobblestone Slab"
minecraft:mossy_cobblestone_stairs                | [block] "Mossy Cobblestone Stairs"
minecraft:mossy_cobblestone_wall                  | [block] "Mossy Cobblestone Wall"
minecraft:mossy_stone_brick_slab                  | [block] "Mossy Stone Brick Slab"
minecraft:mossy_stone_brick_stairs                | [block] "Mossy Stone Brick Stairs"
minecraft:mossy_stone_brick_wall                  | [block] "Mossy Stone Brick Wall"
minecraft:mossy_stone_bricks                      | [block] "Mossy Stone Bricks"
minecraft:moving_piston                           | [block] "Moving Piston"
minecraft:mud                                     | [block] "Mud"
minecraft:mud_brick_slab                          | [block] "Mud Brick Slab"
minecraft:mud_brick_stairs                        | [block] "Mud Brick Stairs"
minecraft:mud_brick_wall                          | [block] "Mud Brick Wall"
minecraft:mud_bricks                              | [block] "Mud Bricks"
minecraft:muddy_mangrove_roots                    | [block] "Muddy Mangrove Roots"
minecraft:mushroom_stem                           | [block] "Mushroom Stem"
minecraft:mycelium                                | [block] "Mycelium"
minecraft:nether_brick_fence                      | [block] "Nether Brick Fence"
minecraft:nether_brick_slab                       | [block] "Nether Brick Slab"
minecraft:nether_brick_stairs                     | [block] "Nether Brick Stairs"
minecraft:nether_brick_wall                       | [block] "Nether Brick Wall"
minecraft:nether_bricks                           | [block] "Nether Bricks"
minecraft:nether_gold_ore                         | [block] "Nether Gold Ore"
minecraft:nether_portal                           | [block] "Nether Portal"
minecraft:nether_quartz_ore                       | [block] "Nether Quartz Ore"
minecraft:nether_sprouts                          | [block] "Nether Sprouts"
minecraft:nether_wart                             | [block] "Nether Wart"
minecraft:nether_wart_block                       | [block] "Nether Wart Block"
minecraft:netherite_block                         | [block] "Block of Netherite"
minecraft:netherrack                              | [block] "Netherrack"
minecraft:note_block                              | [block] "Note Block"
minecraft:oak_button                              | [block] "Oak Button"
minecraft:oak_door                                | [block] "Oak Door"
minecraft:oak_fence                               | [block] "Oak Fence"
minecraft:oak_fence_gate                          | [block] "Oak Fence Gate"
minecraft:oak_hanging_sign                        | [block] "Oak Hanging Sign"
minecraft:oak_leaves                              | [block] "Oak Leaves"
minecraft:oak_log                                 | [block] "Oak Log"
minecraft:oak_planks                              | [block] "Oak Planks"
minecraft:oak_pressure_plate                      | [block] "Oak Pressure Plate"
minecraft:oak_sapling                             | [block] "Oak Sapling"
minecraft:oak_sign                                | [block] "Oak Sign"
minecraft:oak_slab                                | [block] "Oak Slab"
minecraft:oak_stairs                              | [block] "Oak Stairs"
minecraft:oak_trapdoor                            | [block] "Oak Trapdoor"
minecraft:oak_wall_hanging_sign                   | [block] "Oak Wall Hanging Sign"
minecraft:oak_wall_sign                           | [block] "Oak Wall Sign"
minecraft:oak_wood                                | [block] "Oak Wood"
minecraft:observer                                | [block] "Observer"
minecraft:obsidian                                | [block] "Obsidian"
minecraft:ochre_froglight                         | [block] "Ochre Froglight"
minecraft:ominous_banner                          | [block] "Ominous Banner"
minecraft:open_eyeblossom                         | [block] "Open Eyeblossom"
minecraft:orange_banner                           | [block] "Orange Banner"
minecraft:orange_bed                              | [block] "Orange Bed"
minecraft:orange_candle                           | [block] "Orange Candle"
minecraft:orange_candle_cake                      | [block] "Cake with Orange Candle"
minecraft:orange_carpet                           | [block] "Orange Carpet"
minecraft:orange_concrete                         | [block] "Orange Concrete"
minecraft:orange_concrete_powder                  | [block] "Orange Concrete Powder"
minecraft:orange_glazed_terracotta                | [block] "Orange Glazed Terracotta"
minecraft:orange_shulker_box                      | [block] "Orange Shulker Box"
minecraft:orange_stained_glass                    | [block] "Orange Stained Glass"
minecraft:orange_stained_glass_pane               | [block] "Orange Stained Glass Pane"
minecraft:orange_terracotta                       | [block] "Orange Terracotta"
minecraft:orange_tulip                            | [block] "Orange Tulip"
minecraft:orange_wool                             | [block] "Orange Wool"
minecraft:oxeye_daisy                             | [block] "Oxeye Daisy"
minecraft:oxidized_chiseled_copper                | [block] "Oxidized Chiseled Copper"
minecraft:oxidized_copper                         | [block] "Oxidized Copper"
minecraft:oxidized_copper_bulb                    | [block] "Oxidized Copper Bulb"
minecraft:oxidized_copper_door                    | [block] "Oxidized Copper Door"
minecraft:oxidized_copper_grate                   | [block] "Oxidized Copper Grate"
minecraft:oxidized_copper_trapdoor                | [block] "Oxidized Copper Trapdoor"
minecraft:oxidized_cut_copper                     | [block] "Oxidized Cut Copper"
minecraft:oxidized_cut_copper_slab                | [block] "Oxidized Cut Copper Slab"
minecraft:oxidized_cut_copper_stairs              | [block] "Oxidized Cut Copper Stairs"
minecraft:packed_ice                              | [block] "Packed Ice"
minecraft:packed_mud                              | [block] "Packed Mud"
minecraft:pale_hanging_moss                       | [block] "Pale Hanging Moss"
minecraft:pale_moss_block                         | [block] "Pale Moss Block"
minecraft:pale_moss_carpet                        | [block] "Pale Moss Carpet"
minecraft:pale_oak_button                         | [block] "Pale Oak Button"
minecraft:pale_oak_door                           | [block] "Pale Oak Door"
minecraft:pale_oak_fence                          | [block] "Pale Oak Fence"
minecraft:pale_oak_fence_gate                     | [block] "Pale Oak Fence Gate"
minecraft:pale_oak_hanging_sign                   | [block] "Pale Oak Hanging Sign"
minecraft:pale_oak_leaves                         | [block] "Pale Oak Leaves"
minecraft:pale_oak_log                            | [block] "Pale Oak Log"
minecraft:pale_oak_planks                         | [block] "Pale Oak Planks"
minecraft:pale_oak_pressure_plate                 | [block] "Pale Oak Pressure Plate"
minecraft:pale_oak_sapling                        | [block] "Pale Oak Sapling"
minecraft:pale_oak_sign                           | [block] "Pale Oak Sign"
minecraft:pale_oak_slab                           | [block] "Pale Oak Slab"
minecraft:pale_oak_stairs                         | [block] "Pale Oak Stairs"
minecraft:pale_oak_trapdoor                       | [block] "Pale Oak Trapdoor"
minecraft:pale_oak_wall_hanging_sign              | [block] "Pale Oak Wall Hanging Sign"
minecraft:pale_oak_wall_sign                      | [block] "Pale Oak Wall Sign"
minecraft:pale_oak_wood                           | [block] "Pale Oak Wood"
minecraft:pearlescent_froglight                   | [block] "Pearlescent Froglight"
minecraft:peony                                   | [block] "Peony"
minecraft:petrified_oak_slab                      | [block] "Petrified Oak Slab"
minecraft:piglin_head                             | [block] "Piglin Head"
minecraft:piglin_wall_head                        | [block] "Piglin Wall Head"
minecraft:pink_banner                             | [block] "Pink Banner"
minecraft:pink_bed                                | [block] "Pink Bed"
minecraft:pink_candle                             | [block] "Pink Candle"
minecraft:pink_candle_cake                        | [block] "Cake with Pink Candle"
minecraft:pink_carpet                             | [block] "Pink Carpet"
minecraft:pink_concrete                           | [block] "Pink Concrete"
minecraft:pink_concrete_powder                    | [block] "Pink Concrete Powder"
minecraft:pink_glazed_terracotta                  | [block] "Pink Glazed Terracotta"
minecraft:pink_petals                             | [block] "Pink Petals"
minecraft:pink_shulker_box                        | [block] "Pink Shulker Box"
minecraft:pink_stained_glass                      | [block] "Pink Stained Glass"
minecraft:pink_stained_glass_pane                 | [block] "Pink Stained Glass Pane"
minecraft:pink_terracotta                         | [block] "Pink Terracotta"
minecraft:pink_tulip                              | [block] "Pink Tulip"
minecraft:pink_wool                               | [block] "Pink Wool"
minecraft:piston                                  | [block] "Piston"
minecraft:piston_head                             | [block] "Piston Head"
minecraft:pitcher_crop                            | [block] "Pitcher Crop"
minecraft:pitcher_plant                           | [block] "Pitcher Plant"
minecraft:player_head                             | [block] "Player Head"
minecraft:player_wall_head                        | [block] "Player Wall Head"
minecraft:podzol                                  | [block] "Podzol"
minecraft:pointed_dripstone                       | [block] "Pointed Dripstone"
minecraft:polished_andesite                       | [block] "Polished Andesite"
minecraft:polished_andesite_slab                  | [block] "Polished Andesite Slab"
minecraft:polished_andesite_stairs                | [block] "Polished Andesite Stairs"
minecraft:polished_basalt                         | [block] "Polished Basalt"
minecraft:polished_blackstone                     | [block] "Polished Blackstone"
minecraft:polished_blackstone_brick_slab          | [block] "Polished Blackstone Brick Slab"
minecraft:polished_blackstone_brick_stairs        | [block] "Polished Blackstone Brick Stairs"
minecraft:polished_blackstone_brick_wall          | [block] "Polished Blackstone Brick Wall"
minecraft:polished_blackstone_bricks              | [block] "Polished Blackstone Bricks"
minecraft:polished_blackstone_button              | [block] "Polished Blackstone Button"
minecraft:polished_blackstone_pressure_plate      | [block] "Polished Blackstone Pressure Plate"
minecraft:polished_blackstone_slab                | [block] "Polished Blackstone Slab"
minecraft:polished_blackstone_stairs              | [block] "Polished Blackstone Stairs"
minecraft:polished_blackstone_wall                | [block] "Polished Blackstone Wall"
minecraft:polished_deepslate                      | [block] "Polished Deepslate"
minecraft:polished_deepslate_slab                 | [block] "Polished Deepslate Slab"
minecraft:polished_deepslate_stairs               | [block] "Polished Deepslate Stairs"
minecraft:polished_deepslate_wall                 | [block] "Polished Deepslate Wall"
minecraft:polished_diorite                        | [block] "Polished Diorite"
minecraft:polished_diorite_slab                   | [block] "Polished Diorite Slab"
minecraft:polished_diorite_stairs                 | [block] "Polished Diorite Stairs"
minecraft:polished_granite                        | [block] "Polished Granite"
minecraft:polished_granite_slab                   | [block] "Polished Granite Slab"
minecraft:polished_granite_stairs                 | [block] "Polished Granite Stairs"
minecraft:polished_tuff                           | [block] "Polished Tuff"
minecraft:polished_tuff_slab                      | [block] "Polished Tuff Slab"
minecraft:polished_tuff_stairs                    | [block] "Polished Tuff Stairs"
minecraft:polished_tuff_wall                      | [block] "Polished Tuff Wall"
minecraft:poppy                                   | [block] "Poppy"
minecraft:potatoes                                | [block] "Potatoes"
minecraft:potted_acacia_sapling                   | [block] "Potted Acacia Sapling"
minecraft:potted_allium                           | [block] "Potted Allium"
minecraft:potted_azalea_bush                      | [block] "Potted Azalea"
minecraft:potted_azure_bluet                      | [block] "Potted Azure Bluet"
minecraft:potted_bamboo                           | [block] "Potted Bamboo"
minecraft:potted_birch_sapling                    | [block] "Potted Birch Sapling"
minecraft:potted_blue_orchid                      | [block] "Potted Blue Orchid"
minecraft:potted_brown_mushroom                   | [block] "Potted Brown Mushroom"
minecraft:potted_cactus                           | [block] "Potted Cactus"
minecraft:potted_cherry_sapling                   | [block] "Potted Cherry Sapling"
minecraft:potted_closed_eyeblossom                | [block] "Potted Closed Eyeblossom"
minecraft:potted_cornflower                       | [block] "Potted Cornflower"
minecraft:potted_crimson_fungus                   | [block] "Potted Crimson Fungus"
minecraft:potted_crimson_roots                    | [block] "Potted Crimson Roots"
minecraft:potted_dandelion                        | [block] "Potted Dandelion"
minecraft:potted_dark_oak_sapling                 | [block] "Potted Dark Oak Sapling"
minecraft:potted_dead_bush                        | [block] "Potted Dead Bush"
minecraft:potted_fern                             | [block] "Potted Fern"
minecraft:potted_flowering_azalea_bush            | [block] "Potted Flowering Azalea"
minecraft:potted_jungle_sapling                   | [block] "Potted Jungle Sapling"
minecraft:potted_lily_of_the_valley               | [block] "Potted Lily of the Valley"
minecraft:potted_mangrove_propagule               | [block] "Potted Mangrove Propagule"
minecraft:potted_oak_sapling                      | [block] "Potted Oak Sapling"
minecraft:potted_open_eyeblossom                  | [block] "Potted Open Eyeblossom"
minecraft:potted_orange_tulip                     | [block] "Potted Orange Tulip"
minecraft:potted_oxeye_daisy                      | [block] "Potted Oxeye Daisy"
minecraft:potted_pale_oak_sapling                 | [block] "Potted Pale Oak Sapling"
minecraft:potted_pink_tulip                       | [block] "Potted Pink Tulip"
minecraft:potted_poppy                            | [block] "Potted Poppy"
minecraft:potted_red_mushroom                     | [block] "Potted Red Mushroom"
minecraft:potted_red_tulip                        | [block] "Potted Red Tulip"
minecraft:potted_spruce_sapling                   | [block] "Potted Spruce Sapling"
minecraft:potted_torchflower                      | [block] "Potted Torchflower"
minecraft:potted_warped_fungus                    | [block] "Potted Warped Fungus"
minecraft:potted_warped_roots                     | [block] "Potted Warped Roots"
minecraft:potted_white_tulip                      | [block] "Potted White Tulip"
minecraft:potted_wither_rose                      | [block] "Potted Wither Rose"
minecraft:powder_snow                             | [block] "Powder Snow"
minecraft:powder_snow_cauldron                    | [block] "Powder Snow Cauldron"
minecraft:powered_rail                            | [block] "Powered Rail"
minecraft:prismarine                              | [block] "Prismarine"
minecraft:prismarine_brick_slab                   | [block] "Prismarine Brick Slab"
minecraft:prismarine_brick_stairs                 | [block] "Prismarine Brick Stairs"
minecraft:prismarine_bricks                       | [block] "Prismarine Bricks"
minecraft:prismarine_slab                         | [block] "Prismarine Slab"
minecraft:prismarine_stairs                       | [block] "Prismarine Stairs"
minecraft:prismarine_wall                         | [block] "Prismarine Wall"
minecraft:pumpkin                                 | [block] "Pumpkin"
minecraft:pumpkin_stem                            | [block] "Pumpkin Stem"
minecraft:purple_banner                           | [block] "Purple Banner"
minecraft:purple_bed                              | [block] "Purple Bed"
minecraft:purple_candle                           | [block] "Purple Candle"
minecraft:purple_candle_cake                      | [block] "Cake with Purple Candle"
minecraft:purple_carpet                           | [block] "Purple Carpet"
minecraft:purple_concrete                         | [block] "Purple Concrete"
minecraft:purple_concrete_powder                  | [block] "Purple Concrete Powder"
minecraft:purple_glazed_terracotta                | [block] "Purple Glazed Terracotta"
minecraft:purple_shulker_box                      | [block] "Purple Shulker Box"
minecraft:purple_stained_glass                    | [block] "Purple Stained Glass"
minecraft:purple_stained_glass_pane               | [block] "Purple Stained Glass Pane"
minecraft:purple_terracotta                       | [block] "Purple Terracotta"
minecraft:purple_wool                             | [block] "Purple Wool"
minecraft:purpur_block                            | [block] "Purpur Block"
minecraft:purpur_pillar                           | [block] "Purpur Pillar"
minecraft:purpur_slab                             | [block] "Purpur Slab"
minecraft:purpur_stairs                           | [block] "Purpur Stairs"
minecraft:quartz_block                            | [block] "Block of Quartz"
minecraft:quartz_bricks                           | [block] "Quartz Bricks"
minecraft:quartz_pillar                           | [block] "Quartz Pillar"
minecraft:quartz_slab                             | [block] "Quartz Slab"
minecraft:quartz_stairs                           | [block] "Quartz Stairs"
minecraft:rail                                    | [block] "Rail"
minecraft:raw_copper_block                        | [block] "Block of Raw Copper"
minecraft:raw_gold_block                          | [block] "Block of Raw Gold"
minecraft:raw_iron_block                          | [block] "Block of Raw Iron"
minecraft:red_banner                              | [block] "Red Banner"
minecraft:red_bed                                 | [block] "Red Bed"
minecraft:red_candle                              | [block] "Red Candle"
minecraft:red_candle_cake                         | [block] "Cake with Red Candle"
minecraft:red_carpet                              | [block] "Red Carpet"
minecraft:red_concrete                            | [block] "Red Concrete"
minecraft:red_concrete_powder                     | [block] "Red Concrete Powder"
minecraft:red_glazed_terracotta                   | [block] "Red Glazed Terracotta"
minecraft:red_mushroom                            | [block] "Red Mushroom"
minecraft:red_mushroom_block                      | [block] "Red Mushroom Block"
minecraft:red_nether_brick_slab                   | [block] "Red Nether Brick Slab"
minecraft:red_nether_brick_stairs                 | [block] "Red Nether Brick Stairs"
minecraft:red_nether_brick_wall                   | [block] "Red Nether Brick Wall"
minecraft:red_nether_bricks                       | [block] "Red Nether Bricks"
minecraft:red_sand                                | [block] "Red Sand"
minecraft:red_sandstone                           | [block] "Red Sandstone"
minecraft:red_sandstone_slab                      | [block] "Red Sandstone Slab"
minecraft:red_sandstone_stairs                    | [block] "Red Sandstone Stairs"
minecraft:red_sandstone_wall                      | [block] "Red Sandstone Wall"
minecraft:red_shulker_box                         | [block] "Red Shulker Box"
minecraft:red_stained_glass                       | [block] "Red Stained Glass"
minecraft:red_stained_glass_pane                  | [block] "Red Stained Glass Pane"
minecraft:red_terracotta                          | [block] "Red Terracotta"
minecraft:red_tulip                               | [block] "Red Tulip"
minecraft:red_wool                                | [block] "Red Wool"
minecraft:redstone_block                          | [block] "Block of Redstone"
minecraft:redstone_lamp                           | [block] "Redstone Lamp"
minecraft:redstone_ore                            | [block] "Redstone Ore"
minecraft:redstone_torch                          | [block] "Redstone Torch"
minecraft:redstone_wall_torch                     | [block] "Redstone Wall Torch"
minecraft:redstone_wire                           | [block] "Redstone Wire"
minecraft:reinforced_deepslate                    | [block] "Reinforced Deepslate"
minecraft:repeater                                | [block] "Redstone Repeater"
minecraft:repeating_command_block                 | [block] "Repeating Command Block"
minecraft:resin_block                             | [block] "Block of Resin"
minecraft:resin_brick_slab                        | [block] "Resin Brick Slab"
minecraft:resin_brick_stairs                      | [block] "Resin Brick Stairs"
minecraft:resin_brick_wall                        | [block] "Resin Brick Wall"
minecraft:resin_bricks                            | [block] "Resin Bricks"
minecraft:resin_clump                             | [block] "Resin Clump"
minecraft:respawn_anchor                          | [block] "Respawn Anchor"
minecraft:rooted_dirt                             | [block] "Rooted Dirt"
minecraft:rose_bush                               | [block] "Rose Bush"
minecraft:sand                                    | [block] "Sand"
minecraft:sandstone                               | [block] "Sandstone"
minecraft:sandstone_slab                          | [block] "Sandstone Slab"
minecraft:sandstone_stairs                        | [block] "Sandstone Stairs"
minecraft:sandstone_wall                          | [block] "Sandstone Wall"
minecraft:scaffolding                             | [block] "Scaffolding"
minecraft:sculk                                   | [block] "Sculk"
minecraft:sculk_catalyst                          | [block] "Sculk Catalyst"
minecraft:sculk_sensor                            | [block] "Sculk Sensor"
minecraft:sculk_shrieker                          | [block] "Sculk Shrieker"
minecraft:sculk_vein                              | [block] "Sculk Vein"
minecraft:sea_lantern                             | [block] "Sea Lantern"
minecraft:sea_pickle                              | [block] "Sea Pickle"
minecraft:seagrass                                | [block] "Seagrass"
minecraft:set_spawn                               | [block] "Respawn point set"
minecraft:short_dry_grass                         | [block] "Short Dry Grass"
minecraft:short_grass                             | [block] "Short Grass"
minecraft:shroomlight                             | [block] "Shroomlight"
minecraft:shulker_box                             | [block] "Shulker Box"
minecraft:skeleton_skull                          | [block] "Skeleton Skull"
minecraft:skeleton_wall_skull                     | [block] "Skeleton Wall Skull"
minecraft:slime_block                             | [block] "Slime Block"
minecraft:small_amethyst_bud                      | [block] "Small Amethyst Bud"
minecraft:small_dripleaf                          | [block] "Small Dripleaf"
minecraft:smithing_table                          | [block] "Smithing Table"
minecraft:smoker                                  | [block] "Smoker"
minecraft:smooth_basalt                           | [block] "Smooth Basalt"
minecraft:smooth_quartz                           | [block] "Smooth Quartz Block"
minecraft:smooth_quartz_slab                      | [block] "Smooth Quartz Slab"
minecraft:smooth_quartz_stairs                    | [block] "Smooth Quartz Stairs"
minecraft:smooth_red_sandstone                    | [block] "Smooth Red Sandstone"
minecraft:smooth_red_sandstone_slab               | [block] "Smooth Red Sandstone Slab"
minecraft:smooth_red_sandstone_stairs             | [block] "Smooth Red Sandstone Stairs"
minecraft:smooth_sandstone                        | [block] "Smooth Sandstone"
minecraft:smooth_sandstone_slab                   | [block] "Smooth Sandstone Slab"
minecraft:smooth_sandstone_stairs                 | [block] "Smooth Sandstone Stairs"
minecraft:smooth_stone                            | [block] "Smooth Stone"
minecraft:smooth_stone_slab                       | [block] "Smooth Stone Slab"
minecraft:sniffer_egg                             | [block] "Sniffer Egg"
minecraft:snow                                    | [block] "Snow"
minecraft:snow_block                              | [block] "Snow Block"
minecraft:soul_campfire                           | [block] "Soul Campfire"
minecraft:soul_fire                               | [block] "Soul Fire"
minecraft:soul_lantern                            | [block] "Soul Lantern"
minecraft:soul_sand                               | [block] "Soul Sand"
minecraft:soul_soil                               | [block] "Soul Soil"
minecraft:soul_torch                              | [block] "Soul Torch"
minecraft:soul_wall_torch                         | [block] "Soul Wall Torch"
minecraft:spawner                                 | [block] "Monster Spawner"
minecraft:sponge                                  | [block] "Sponge"
minecraft:spore_blossom                           | [block] "Spore Blossom"
minecraft:spruce_button                           | [block] "Spruce Button"
minecraft:spruce_door                             | [block] "Spruce Door"
minecraft:spruce_fence                            | [block] "Spruce Fence"
minecraft:spruce_fence_gate                       | [block] "Spruce Fence Gate"
minecraft:spruce_hanging_sign                     | [block] "Spruce Hanging Sign"
minecraft:spruce_leaves                           | [block] "Spruce Leaves"
minecraft:spruce_log                              | [block] "Spruce Log"
minecraft:spruce_planks                           | [block] "Spruce Planks"
minecraft:spruce_pressure_plate                   | [block] "Spruce Pressure Plate"
minecraft:spruce_sapling                          | [block] "Spruce Sapling"
minecraft:spruce_sign                             | [block] "Spruce Sign"
minecraft:spruce_slab                             | [block] "Spruce Slab"
minecraft:spruce_stairs                           | [block] "Spruce Stairs"
minecraft:spruce_trapdoor                         | [block] "Spruce Trapdoor"
minecraft:spruce_wall_hanging_sign                | [block] "Spruce Wall Hanging Sign"
minecraft:spruce_wall_sign                        | [block] "Spruce Wall Sign"
minecraft:spruce_wood                             | [block] "Spruce Wood"
minecraft:sticky_piston                           | [block] "Sticky Piston"
minecraft:stone                                   | [block] "Stone"
minecraft:stone_brick_slab                        | [block] "Stone Brick Slab"
minecraft:stone_brick_stairs                      | [block] "Stone Brick Stairs"
minecraft:stone_brick_wall                        | [block] "Stone Brick Wall"
minecraft:stone_bricks                            | [block] "Stone Bricks"
minecraft:stone_button                            | [block] "Stone Button"
minecraft:stone_pressure_plate                    | [block] "Stone Pressure Plate"
minecraft:stone_slab                              | [block] "Stone Slab"
minecraft:stone_stairs                            | [block] "Stone Stairs"
minecraft:stonecutter                             | [block] "Stonecutter"
minecraft:stripped_acacia_log                     | [block] "Stripped Acacia Log"
minecraft:stripped_acacia_wood                    | [block] "Stripped Acacia Wood"
minecraft:stripped_bamboo_block                   | [block] "Block of Stripped Bamboo"
minecraft:stripped_birch_log                      | [block] "Stripped Birch Log"
minecraft:stripped_birch_wood                     | [block] "Stripped Birch Wood"
minecraft:stripped_cherry_log                     | [block] "Stripped Cherry Log"
minecraft:stripped_cherry_wood                    | [block] "Stripped Cherry Wood"
minecraft:stripped_crimson_hyphae                 | [block] "Stripped Crimson Hyphae"
minecraft:stripped_crimson_stem                   | [block] "Stripped Crimson Stem"
minecraft:stripped_dark_oak_log                   | [block] "Stripped Dark Oak Log"
minecraft:stripped_dark_oak_wood                  | [block] "Stripped Dark Oak Wood"
minecraft:stripped_jungle_log                     | [block] "Stripped Jungle Log"
minecraft:stripped_jungle_wood                    | [block] "Stripped Jungle Wood"
minecraft:stripped_mangrove_log                   | [block] "Stripped Mangrove Log"
minecraft:stripped_mangrove_wood                  | [block] "Stripped Mangrove Wood"
minecraft:stripped_oak_log                        | [block] "Stripped Oak Log"
